date,country,market,category,commodity,unit,currency,pricetype,price,usdprice,latitude,longitude
2018-01-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1097.05,0.2965,1.0016,34.2364
2018-02-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1081.79,0.2924,-0.9632,34.8684
2018-03-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1095.01,0.2959,2.9806,30.2918
2018-04-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1123.34,0.3036,0.6135,34.6045
2018-05-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1251.77,0.3383,3.1897,31.9944
2018-06-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1356.44,0.3666,1.6611,29.9446
2018-07-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1566.61,0.4234,2.1005,33.6937
2018-08-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1620.08,0.4379,4.033,34.4229
2018-09-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1599.08,0.4322,-0.3906,32.1203
2018-10-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1537.68,0.4156,-0.6205,33.2885
2018-11-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1520.39,0.4109,4.0148,31.3595
2018-12-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1297.24,0.3506,1.1765,30.6231
2019-01-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1163.91,0.3146,1.2115,30.8253
2019-02-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1133.35,0.3063,0.9918,34.0965
2019-03-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1080.53,0.292,0.2805,34.0942
2019-04-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1164.77,0.3148,0.7086,31.157
2019-05-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1344.84,0.3635,-0.7034,30.6795
2019-06-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1520.52,0.411,2.9855,33.1902
2019-07-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1578.56,0.4266,2.9502,32.0781
2019-08-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1635.63,0.4421,-0.7032,30.2185
2019-09-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1582.01,0.4276,1.1852,32.6523
2019-10-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1474.11,0.3984,2.1179,32.5893
2019-11-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1371.96,0.3708,0.2325,29.7664
2019-12-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1189.81,0.3216,-0.2769,31.8061
2020-01-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1011.43,0.2734,-0.1665,29.9148
2020-02-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,978.26,0.2644,0.1735,33.1743
2020-03-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,965.63,0.261,2.9682,33.1873
2020-04-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1015.81,0.2745,3.1399,30.5017
2020-05-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1110.15,0.3,-0.9867,33.5007
2020-06-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1278.8,0.3456,-0.5808,32.3056
2020-07-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1451.51,0.3923,2.469,32.0092
2020-08-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1541.64,0.4167,0.2186,33.0035
2020-09-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1433.75,0.3875,-1.0004,30.2372
2020-10-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1295.52,0.3501,3.6789,33.3784
2020-11-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1148.48,0.3104,4.0243,33.8053
2020-12-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1050.92,0.284,1.0614,31.0701
2021-01-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,907.25,0.2452,3.6448,32.0612
2021-02-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,791.58,0.2139,0.244,32.7278
2021-03-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,775.38,0.2096,3.3827,33.696
2021-04-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,807.48,0.2182,0.9629,32.9875
2021-05-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,961.79,0.2599,2.2041,30.056
2021-06-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1092.88,0.2954,-1.2628,32.2676
2021-07-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1259.85,0.3405,-0.6762,30.1584
2021-08-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1272.14,0.3438,-0.5276,34.5956
2021-09-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1257.86,0.34,0.4772,32.7909
2021-10-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1178.1,0.3184,3.9638,32.2044
2021-11-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1077.45,0.2912,-1.0284,32.228
2021-12-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1079.38,0.2917,3.8456,32.6873
2022-01-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,880.04,0.2378,0.0218,31.3905
2022-02-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,817.0,0.2208,1.0018,29.7167
2022-03-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,861.7,0.2329,3.6081,30.3573
2022-04-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,876.43,0.2369,-0.8811,33.2301
2022-05-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,971.38,0.2625,2.6439,33.7507
2022-06-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1143.37,0.309,3.7213,30.8432
2022-07-01,Uganda,Kampala,cereals and tubers,Maize,KG,UGX,Retail,1215.15,0.3284,1.6627,31.603
